NUMBER_05B,ALPHA_J2000_05B,DELTA_J2000_05B
16839,34.457057231000725,-5.498072225496802
16950,34.462403352829234,-5.497740065596697
16947,34.49571668770813,-5.497727007302366
17033,34.55242925530035,-5.497455201011173
17040,34.515929693501974,-5.497442879605812
17045,34.45659312666345,-5.497440563967793
17051,34.4526463227421,-5.497444875227802
17056,34.474601220346536,-5.497402151355855
17071,34.46506933449428,-5.4973549740507055
17088,34.55928524187408,-5.497267217635747
17112,34.57896603553589,-5.497215996727334
17123,34.60043546125053,-5.497209920485189
17164,34.451799887068674,-5.4970615474269096
17179,34.59863173727689,-5.4970006656078585
17185,34.5345859217056,-5.496992566730744
17211,34.457828782428116,-5.496900042763297
17170,34.592911809692545,-5.5000584791075084
17253,34.57572215124789,-5.496783929419984
17243,34.49544855093721,-5.4967865723456955
17292,34.49600864510353,-5.496666763803264
17312,34.549499725819786,-5.496618476669829
17340,34.541234885436324,-5.496537979528134
17345,34.507629514675784,-5.496493806352794
17354,34.59448393483078,-5.496463366500199
17367,34.592100484834674,-5.496408787984368
17376,34.559000459344674,-5.496432094074185
17387,34.46962163615183,-5.496387832391791
17400,34.460553567119945,-5.49638522819112
17416,34.598436771981895,-5.496318602633387
17425,34.58272331870314,-5.496291553254967
17441,34.58422619598765,-5.49623062126005
17460,34.5391876351984,-5.496149492421019
17557,34.5045560218823,-5.495904950769875
17582,34.59886073610109,-5.495782376637991
17590,34.5871466205634,-5.495791784061651
17592,34.605857284476734,-5.4957589104725875
17602,34.54626752379677,-5.4957483800162805
17606,34.52762597217079,-5.495706842637303
17620,34.47728084549487,-5.495684026358246
17635,34.500233197334595,-5.495656140528526
17669,34.46345933881354,-5.495575674490401
17684,34.47066134512888,-5.49555126664692
17725,34.53118771111809,-5.49538787086126
17770,34.52870416185492,-5.495245172213694
17783,34.459556953953445,-5.495213326741771
17823,34.45332724327393,-5.495083326795734
17829,34.564742130569584,-5.4950326173697395
17886,34.48337088441447,-5.4949066443456465
17895,34.593265300059954,-5.494835358253114
17943,34.520293210276186,-5.494719633157838
17963,34.5836636781643,-5.494614634804061
17971,34.582475528787285,-5.494607394626448
17964,34.51725733242744,-5.494633304909171
17968,34.480086145331754,-5.494624145722712
17981,34.50400057597761,-5.494588982522095
17997,34.58502463103939,-5.4945457748438375
17999,34.50874778161908,-5.49454788095411
18006,34.60292653960968,-5.494544238745803
18033,34.55135972425528,-5.494427713137272
18112,34.50658681324139,-5.494177297937198
18124,34.529625453198754,-5.494150801618174
18174,34.55937706720463,-5.494028291157286
18175,34.501212455603124,-5.494029398418613
18162,34.504815020869565,-5.4940466175891
18215,34.5414053520815,-5.493924345400652
18230,34.46096529494625,-5.493879370731284
18240,34.53178078745177,-5.493833662399978
18241,34.53241757023756,-5.493858154836722
18286,34.4725561662957,-5.4936960014639205
18403,34.473893599638934,-5.4933290268786745
18414,34.54445619017021,-5.493287325158179
18442,34.60546456591566,-5.493185769466322
18468,34.469764574535674,-5.493133984225895
18496,34.54345740596263,-5.49306612623575
18584,34.56064247156177,-5.4927786255894135
18589,34.58016437331364,-5.492759037697703
18578,34.49850698014331,-5.492766878320065
18624,34.576461177482535,-5.492606896170365
18644,34.55324369813197,-5.492588648980068
18655,34.46358685127261,-5.492533627744155
18660,34.5345289388787,-5.4925051635150695
18697,34.557320095089096,-5.492457444975491
18716,34.51252238424357,-5.492388867564672
18719,34.46541175881785,-5.492378993279074
18718,34.538411459817695,-5.49235861623517
18733,34.57902944221088,-5.4923527964105165
18753,34.54290965185618,-5.492273584568821
18768,34.52644664769479,-5.492246471999586
18829,34.586329945207396,-5.492058776204439
18870,34.5111184986777,-5.491947911657909
18903,34.47519267627926,-5.49179394238238
18941,34.505101354578734,-5.491718268890344
18952,34.5432634631815,-5.491695913638046
18982,34.51291179532473,-5.49158183069345
18984,34.5101250256094,-5.491569251911453
19027,34.57435876934787,-5.491475003930327
19071,34.476286792310354,-5.491305509034974
19110,34.46931631163652,-5.491239990137426
19120,34.566641844520866,-5.4911980324968
19128,34.56143066015214,-5.491206673602373
19171,34.610040290826035,-5.4910875810329856
19183,34.589266754313016,-5.49099263965646
19238,34.53117086376919,-5.490829436396913
19245,34.45351189860983,-5.490807517752965
19282,34.47409366610219,-5.490697437693827
19196,34.54376434844955,-5.490995834763449
19362,34.520916780008776,-5.490493777481949
19377,34.60858967915799,-5.490459549622673
19397,34.46267374693469,-5.490398260087694
19423,34.500712588179496,-5.4903575845175885
19425,34.56817466042956,-5.4903246288450855
19421,34.53318026970051,-5.490359906841283
19428,34.47511930042665,-5.4903480993420235
19485,34.473075685107055,-5.490183343218964
19503,34.5206121359476,-5.4900960452445675
19521,34.47374277364396,-5.490045420410363
19525,34.57636185937245,-5.489988339226411
19567,34.56768747119508,-5.489877001646479
19574,34.60242921129318,-5.489860507853886
19603,34.54719372923419,-5.489746887999077
19670,34.549622807561526,-5.4895696048339335
19664,34.60928204936343,-5.489545839007126
19691,34.53984605517195,-5.4895033549108305
19689,34.60075806998885,-5.489493389270388
19707,34.493833718958804,-5.489404256773605
19717,34.60511435038646,-5.489379026540276
19720,34.6121700651146,-5.489350666523451
19726,34.4751506387588,-5.489352158452792
19753,34.603769074157285,-5.489257471222617
19812,34.58639324962456,-5.489015863591433
19840,34.51052253393903,-5.489023560877925
19843,34.45748481097386,-5.489002566885663
19861,34.47607781456634,-5.488954381771916
19887,34.581463663717,-5.488871496222281
19914,34.57748464228099,-5.488822943976919
19951,34.474621704817004,-5.488683168637558
19969,34.549250459037296,-5.488622179894899
19970,34.52350111030124,-5.488616967842478
20005,34.608468277856225,-5.488504358720091
20013,34.465460352070444,-5.488499552120008
20021,34.61949910162568,-5.4884530831002
20024,34.60534786566434,-5.488439518619493
20073,34.54104164908073,-5.4882863679503
20076,34.614249075159876,-5.4882863682769285
20078,34.60404681622564,-5.488289095128535
20103,34.50946080495923,-5.48821644691688
20128,34.51001708932619,-5.488205159807831
20119,34.52508236222582,-5.488180402696664
20140,34.56373410501266,-5.488122558943164
20149,34.54771832190643,-5.488121765995536
20147,34.60323740856456,-5.488097940663179
20150,34.48924706355216,-5.488099730700485
20161,34.46491545611205,-5.48802361928523
20169,34.57799627179686,-5.488040766084315
20170,34.61455400870219,-5.488028472652364
20164,34.60487378284724,-5.488004786646481
20210,34.617259399492774,-5.487922958486734
20262,34.46657135855585,-5.487749809438792
20286,34.45083309658811,-5.487658918018774
20305,34.461544465798106,-5.487617018940031
20316,34.45180661501407,-5.487603083940495
20326,34.62077126823,-5.487517679411275
20339,34.53242466664627,-5.487517035670788
20299,34.481052409800874,-5.488010133389218
20352,34.59384884471176,-5.487481780371356
20354,34.560402714893705,-5.487464024954783
20417,34.59308298154053,-5.487233941442045
20435,34.61035674127875,-5.487209141782643
20460,34.601499208986176,-5.487095301197215
20461,34.60234995931349,-5.4871061164108115
20457,34.47996287303967,-5.487104023947945
20492,34.58773818214387,-5.487011487696728
20502,34.57770452347316,-5.486984088289406
20513,34.524339744062296,-5.486942605737368
20548,34.4790267951993,-5.486846395475997
20554,34.60480441702933,-5.4868286446926575
20561,34.46687002982648,-5.4868244593927695
20570,34.4964368864931,-5.486785649671828
20636,34.47791716704209,-5.48657672095796
20645,34.59510046110615,-5.4865145516193765
20661,34.573135547965876,-5.486456272962542
20710,34.53636387492426,-5.486369252945167
20757,34.46561295703715,-5.4862111761621515
20768,34.56584066836106,-5.48617525067976
20791,34.50512585672405,-5.48607055410267
20824,34.58428828478394,-5.485974958448974
20822,34.499417747322454,-5.4859748560220645
20839,34.5747092547799,-5.485913025129984
20869,34.45502635335781,-5.485853524186131
20894,34.54380046656483,-5.485759897403478
20895,34.548517533705315,-5.485763632829526
20910,34.59530306278671,-5.485698598202107
20923,34.555473421568266,-5.485694909170233
20888,34.51714240524745,-5.486504670199209
20926,34.612423768573926,-5.485619363280255
20943,34.54400863969082,-5.485619932993125
20957,34.61532583735765,-5.4855359703675575
20954,34.46426057842209,-5.485536435845438
20981,34.61400425891431,-5.485445593026853
21000,34.59860304320562,-5.485402377049976
21014,34.562198164945436,-5.485380403738543
21055,34.5782218946112,-5.4852541579644045
21086,34.47878500269963,-5.48517378729893
21145,34.52979467726088,-5.484997618387568
21156,34.47327964993546,-5.484961807428552
21279,34.464721038608275,-5.484611541362977
21294,34.57482820731832,-5.4845127328152214
21363,34.58013607533662,-5.484249232477647
21380,34.60612234033755,-5.484224607045139
21381,34.56542799375064,-5.4842363236181635
21408,34.57248894046353,-5.484099682173448
21414,34.5024790954898,-5.484098637082887
21528,34.604252729838535,-5.483724928142884
21572,34.46209070491672,-5.483637377414576
21569,34.489435191641746,-5.483637593726578
21577,34.48521463699449,-5.483640482668051
21589,34.572239436494044,-5.48360430602401
21609,34.47905160134094,-5.483526976956283
21622,34.484464020387854,-5.4835002555629755
21632,34.56693455776538,-5.483435330329721
21680,34.553724878591666,-5.483331504802096
21737,34.60420242192696,-5.483164743744268
21735,34.51786780521524,-5.483201330160942
21709,34.569044172802144,-5.48357745003888
21783,34.594114440118226,-5.483023895423818
21774,34.52979333725557,-5.4830582801816545
21772,34.50925766040871,-5.483036362308646
21779,34.48452267185953,-5.483047989370782
21776,34.530505862796936,-5.483053646571402
21787,34.54641695986998,-5.483012930521625
21819,34.59657961362426,-5.482883810873391
21802,34.590885995473904,-5.482937480488242
21845,34.59373997427503,-5.48281905673477
21835,34.54393805128231,-5.482810130363158
21844,34.484133120900545,-5.482832741724075
21876,34.542860680972524,-5.482690711949239
21907,34.547202119771114,-5.482640181852654
